count	volume	first_ref	form	gloss
4	BOM	BOM 1nephi 7:21	בְּמַסָּעֵנוּ	on our journey
4	BOM	BOM 1nephi 16:19	מִמַּסָּעָם	because of their march
4	BOM/NT/D&C	BOM 2nephi 1:28	אַנִּיחַ	I leave
4	BOM/NT	BOM 2nephi 9:28	תוֹעִיל	does it profit
4	BOM/NT	BOM 2nephi 9:47	אָעִיר	I awaken
4	BOM	BOM 2nephi 10:18	וְנִמְנוּ	and be numbered
4	BOM/D&C	BOM 2nephi 10:22	הוֹבִיל	led
4	BOM/D&C	BOM 2nephi 28:28	יְקַבְּלֶנָּה	he shall receive it
4	BOM/NT	BOM 3nephi 1:7	לְהִתְעַצֵּב	to grieve
4	BOM/NT	BOM 3nephi 1:25	יוֹד	jot
4	BOM	BOM 3nephi 2:11	גַּם־הַנֶּפִיִּים	also the Nephites
4	BOM	BOM 3nephi 3:14	גַּם־מִן	also from
4	BOM/D&C	BOM 3nephi 7:11	מְחֻבָּרִים	united
4	BOM	BOM 3nephi 7:13	מַסָּעָם	their march
4	BOM/NT	BOM 3nephi 7:17	יַסְפִּיק	is sufficient
4	BOM/NT/D&C	BOM 3nephi 9:15	וּבִי	and in me
4	BOM/D&C	BOM 3nephi 18:5	וְהַנִּטְבָּלִים	and are baptized
4	BOM/D&C	BOM 3nephi 18:30	תְּקַבְּלוּהוּ	you shall receive him
4	BOM/D&C	BOM 3nephi 21:22	וְיַקְשִׁיבוּ	and they shall give heed
4	BOM/OT	BOM 3nephi 22:16	פֶּחָם	the coals
4	BOM/D&C	BOM 3nephi 28:34	יַקְשִׁיב	heed
4	BOM/OT	BOM alma 10:23	תֻּכּוּ	you shall be smitten
4	BOM	BOM alma 11:25	לְהַשְׁמִידֵנִי	to destroy me
4	BOM/NT	BOM alma 14:2	דִינָם	their lawyers
4	BOM	BOM alma 16:5	לְחַפֵּשׂ	in search of
4	BOM	BOM alma 16:21	נִצָּחוֹן	victory
4	BOM/D&C	BOM alma 26:24	פּוֹשֵׁעַ	a transgressor
4	BOM	BOM alma 26:34	לְהֵהָרֵג	to be slain
4	BOM/NT/D&C	BOM alma 41:4	יוּקַם	raised
4	BOM/NT	BOM alma 43:44	וַיְעוֹרְרוּ	And inspired
4	BOM	BOM alma 50:4	לְהַזִּיקָם	do them hurt
4	BOM	BOM alma 56:39	מַסָּעֵנוּ	our march
4	BOM/NT/D&C	BOM alma 57:34	הִגַּעְנוּ	we did arrive
4	BOM/D&C	BOM alma 60:27	לִתְפֹּס	to seize
4	BOM/NT	BOM ether 2:9	יִירָשֶׁנָּה	shall possess it
4	BOM/D&C	BOM ether 4:18	וְהַנִּטְבָּל	and is baptized
4	BOM/D&C	BOM helaman 4:22	שִׁנּוּ	they altered
4	BOM/NT/D&C	BOM mosiah 4:11	וְקִבַּלְתֶּם	and have received
4	BOM/OT	BOM mosiah 22:4	גַּם־עַתָּה	also now
4	OT	OT 1ch 11:2	גַּם־תְּמוֹל	in-time-past
4	OT/NT	OT 1ki 3:26	גַּם־לִי	also to me
4	OT/NT	OT 1ki 18:42	וַיִּגְהַר	and he crouched
4	OT/NT	OT 1sa 21:14	רִירוֹ	his foam,
4	OT	OT 2ki 1:2	זְבוּב	zebub
4	OT/PGP	OT deu 14:2	וּבְךָ	and you
4	OT	OT gen 24:20	וַתָּרׇץ	and she ran
4	NT/D&C	NT 1co 9:25	נִפְסָד	corruptible
4	NT	NT 1co 12:21	אֶצְטָרֵךְ	need
4	NT/D&C/PGP	NT 1co 13:2	לְהַעְתִּיק	I-could-remove
4	NT/D&C	NT 1ti 1:20	יִוָּסְרוּ	they-may-learn
4	NT/D&C	NT 1ti 4:13	שָׁקוּד	diligent
4	NT/D&C	NT 2ti 2:14	לַעֲסֹק	strive
4	NT/PGP	NT acts 5:17	כַּת	the-sect-of
4	NT	NT acts 13:39	לְהִצְטַדֵּק	be-justified
4	NT	NT john 12:25	יְאַבְּדֶנָּה	shall lose it;
4	NT	NT mark 11:32	הֲנֹאמַר	shall-we-say
4	NT	NT mark 15:30	מִן־הַצְּלוּב	from the cross.
4	NT/D&C	NT matt 10:39	יִמְצָאֶנָּה	shall find it.
4	NT	NT rev 4:5	וּרְעָמִים	and-thunderings
4	D&C	D&C dc101_110 1:10	קֹדֶמֶת	former,
4	D&C/PGP	D&C dc101_110 1:92	מַעֲנִיק	bestows
4	D&C/PGP	D&C dc11_20 1:1	וּבְשׂוֹרַת	and the gospel of
4	D&C	D&C dc61_70 1:31	מַכְרִיז	declare
3	BOM/NT/PGP	BOM 1nephi 1:15	וַתָּגֶל	and rejoiced
3	BOM	BOM 1nephi 3:26	וַנָּנָס	and we did flee
3	BOM	BOM 1nephi 8:1	וְגַם־זֶרַע	and also the seed of
3	BOM/D&C	BOM 1nephi 10:3	וְיוּשְׁבוּ	yea, even be brought back
3	BOM	BOM 1nephi 10:13	לְהוֹבִיל	to lead
3	BOM/OT/NT	BOM 1nephi 12:4	הֲמֻלָּה	tumult
3	BOM	BOM 1nephi 16:11	צֵידָתֵנוּ	our provisions
3	BOM	BOM 1nephi 16:28	וְהַשְּׁקִידָה	and diligence
3	BOM/OT	BOM 1nephi 22:7	וּבָם	and by them
3	BOM	BOM 2nephi 1:13	לְהוֹבִילָם	to lead them
3	BOM/D&C	BOM 2nephi 1:14	אֵבָרָיו	his limbs
3	BOM/NT/D&C	BOM 2nephi 1:31	יַזִּיק	shall harm
3	BOM/OT	BOM 2nephi 5:21	כַּחַלָּמִישׁ	like a flint
3	BOM/OT	BOM 2nephi 12:4	לְאִתִּים	into plowshares
3	BOM/OT/NT	BOM 2nephi 17:19	וּבִנְקִיקֵי	and in the holes of
3	BOM/OT	BOM 2nephi 21:1	חֹטֶר	a rod
3	BOM/OT	BOM 2nephi 21:8	הָדָה	shall put
3	BOM	BOM 2nephi 28:27	נִצְטָרֵךְ	shall we need
3	BOM/D&C	BOM 3nephi 1:23	מַטְבִּילִים	baptizing
3	BOM/D&C	BOM 3nephi 3:14	הַנִּמְנִים	those numbered
3	BOM	BOM 3nephi 11:22	תַטְבִּילוּ	you shall baptize
3	BOM	BOM 3nephi 11:26	תַּטְבִּילוּ	you shall baptize
3	BOM	BOM 3nephi 16:10	בְּגַאֲוָתָם	in their pride
3	BOM	BOM 3nephi 27:1	וַיַּטִּיפוּ	and preaching
3	BOM	BOM 4nephi 1:29	עַנְוָתָם	their humility
3	BOM	BOM 4nephi 1:43	לְהִתְגָּאוֹת	to be proud
3	BOM/D&C	BOM alma 1:7	מִמּוֹרֵיהֶם	of their teachers
3	BOM/D&C	BOM alma 2:3	פִּתּוּיֵי	persuasions of
3	BOM/NT/D&C	BOM alma 4:3	הַנִּשְׁלָחִים	were sent
3	BOM/OT/D&C	BOM alma 7:20	עֲקַלְקַלּוֹת	crooked
3	BOM	BOM alma 11:3	סְנוּם	a senum of
3	BOM/D&C	BOM alma 12:4	עֲרוּמָה	cunning
3	BOM/D&C	BOM alma 12:18	לְהִגָּאֵל	be redeemed
3	BOM	BOM alma 17:5	קָרוּ	attended
3	BOM/OT	BOM alma 17:6	וְגַם־זֶה	and also this
3	BOM/NT/PGP	BOM alma 21:23	וַיַּקְשִׁיבוּ	and they gave heed
3	BOM/PGP	BOM alma 22:19	וַתְּצַו	and commanded
3	BOM	BOM alma 29:11	אֶת־שִׁבְיַת	the captivity of
3	BOM/D&C	BOM alma 30:27	בִּיגִיעַ	with the labors of
3	BOM/D&C	BOM alma 30:43	אִוָּכַח	I may be convinced
3	BOM/D&C	BOM alma 32:14	מְבֹרָכִים	they are blessed
3	BOM/NT	BOM alma 32:35	טְעַמְתֶּם	you have tasted
3	BOM/D&C	BOM alma 34:31	תּוּבָא	shall be brought
3	BOM	BOM alma 41:11	בְּיִצְרָם	are in a state of nature
3	BOM/NT/D&C	BOM alma 45:21	יֻגַּד	should be declared
3	BOM/D&C	BOM alma 46:39	נִפְדּוּ	were redeemed
3	BOM	BOM alma 48:16	בְּהַצָּלַת	in preserving
3	BOM	BOM alma 52:23	לָסֶגֶת	to retreat
3	BOM	BOM alma 56:54	כִּשְׁבוּיֵי	as prisoners of
3	BOM	BOM alma 60:9	אֶת־צֵידָתָם	their provisions
3	BOM	BOM alma 62:35	וְגַם־הַלָּמָנִים	and also the Lamanites
3	BOM	BOM ether 2:6	סְפִינוֹת	barges
3	BOM/D&C	BOM ether 2:25	גַּלֵּי	the waves of
3	BOM/D&C	BOM ether 8:25	הַמְשַׁקֵּר	the liar
3	BOM/NT/D&C	BOM ether 12:8	לְהִשְׁתַּתֵּף	be partakers
3	BOM/D&C	BOM ether 15:3	נִתְקַיְּמוּ	they were fulfilled
3	BOM	BOM ether 15:19	מֵהֵאָבֵק	striving
3	BOM	BOM helaman 7:13	נִקְהַלְתֶּם	you have assembled
3	BOM/NT/D&C	BOM helaman 9:20	קָשׁוּר	art bound
3	BOM/NT/D&C	BOM helaman 10:7	תַּתִּיר	you shall loose
3	BOM/NT	BOM helaman 15:4	בִּקְרִיאַת	at the preaching of
3	BOM/NT	BOM jarom 1:11	מַזְהִירִים	exhorting
3	BOM/NT	BOM mormon 7:5	עֹקֶץ	the sting of
3	BOM/PGP	BOM mosiah 2:30	בְּנַסּוֹתִי	while attempting
3	BOM/D&C/PGP	BOM mosiah 5:8	נַעֲשֵׂיתֶם	you are made
3	OT	OT 1ch 21:3	כָּהֵם	so-many-more-as-they-are
3	OT/PGP	OT 1ki 12:10	עָבָה	it is thick
3	OT	OT 1ki 21:21	מֵבִי	will bring
3	OT/NT	OT 1sa 21:14	וַיְתָו	and wrote
3	OT/NT	OT deu 25:4	לֹא־תַחְסֹם	you-shall-not-muzzle
3	OT	OT deu 28:4	שְׁגַר	the young of
3	OT	OT ecc 1:17	שֶׁגַּם־זֶה	that also this
3	OT/NT	OT est 5:2	וַיּוֹשֶׁט	and extended
3	OT/NT	OT exo 12:32	גַּם־אֹתִי	me also
3	OT	OT eze 4:14	פִּגּוּל	unclean meat
3	OT	OT eze 13:11	אֶלְגָּבִישׁ	hail
3	OT	OT eze 18:2	תִּקְהֶינָה	are set on edge
3	OT	OT eze 23:17	וַתֵּקַע	and was alienated
3	OT/PGP	OT gen 1:2	מְרַחֶפֶת	was hovering
3	OT	OT gen 17:23	וַיָּמׇל	and he circumcised
3	OT/NT	OT gen 24:65	הַלָּזֶה	this
3	OT	OT gen 30:38	בָּרְהָטִים	in the gutters
3	OT	OT hos 4:14	יִלָּבֵט	he will be ruined
3	OT	OT hos 6:4	מַשְׁכִּים	early
3	OT	OT hos 13:10	אֱהִי	where is
3	OT	OT isa 20:2	וְיָחֵף	and-barefoot
3	OT	OT isa 28:25	קֶצַח	the-black-seeds
3	OT	OT jdg 1:14	וַתִּצְנַח	and she went down
3	OT	OT job 9:27	וְאַבְלִיגָה	and I will be cheerful
3	OT/NT	OT joe 2:12	וְגַם־עַתָּה	and also now
3	OT	OT jon 2:6	אֲפָפוּנִי	they encompassed me
3	OT	OT jos 20:6	עַד־עׇמְדוֹ	until he stand
3	OT	OT lev 2:2	וְקָמַץ	and he will take a handful
3	OT	OT lev 13:42	בְגַבַּחְתּוֹ	on his bald forehead
3	OT	OT lev 13:51	מַמְאֶרֶת	malignant
3	OT	OT pro 15:13	נְכֵאָה	is stricken
3	OT/NT	OT psa 14:3	נֶאֱלָחוּ	they have become foul
3	NT	NT 1co 2:2	הַנִּצְלָב	crucified
3	NT	NT 1co 7:27	לְהִפָּטֵר	to-be-loosed
3	NT/D&C	NT 1co 9:10	חוֹשֵׁשׁ	taketh-care
3	NT	NT 1co 15:9	מֵהִקָּרֵא	worthy to be called
3	NT	NT 1jn 2:8	גַּם־בָּכֶם	and-in-you
3	NT	NT 1th 2:8	חֲבִיבִים	beloved-ones
3	NT/PGP	NT 1ti 5:16	פַּרְנָסָה	them
3	NT	NT 2co 1:4	הַנִּלְחָצִים	them-which-are
3	NT	NT 2co 1:6	נֶחָמַתְכֶם	your-consolation
3	NT	NT 2co 7:9	נֶעֱצַבְתֶּם	you-were-made-sorry
3	NT	NT 2co 7:11	זְרִיזוּת	carefulness
3	NT/D&C	NT acts 9:5	לִבְעֹט	to-with-a stylus of
3	NT/D&C	NT acts 9:5	בַּדָּרְבֹנוֹת	in-the-goads
3	NT	NT acts 15:20	הַנֶּחֱנָק	things-strangled,
3	NT	NT acts 19:19	דִּינָרִים	denarii
3	NT/D&C	NT acts 21:13	לְהֵאָסֵר	not-to-be-bound-only,
3	NT	NT acts 26:9	הָגוּן	that-I-ought
3	NT	NT col 3:13	תִּמְחֲלוּ	you-will-forgive
3	NT/D&C	NT gal 4:17	לְהַפְרִיד	to-separate
3	NT	NT heb 6:6	לִצְלֹב	afresh
3	NT	NT heb 12:2	אֶת־הַצְּלוּב	the cross,
3	NT/PGP	NT heb 12:27	שִׁנּוּי	the-removing-of
3	NT/D&C	NT john 6:64	הַמּוֹסֵר	should betray
3	NT	NT john 19:18	וַיִּצְלְבוּ	they crucified
3	NT	NT john 19:29	סְפוֹג	a spunge
3	NT	NT luke 5:33	וְתַלְמִידֶיךָ	but your disciples
3	NT	NT luke 9:24	וְהַמְאַבֵּד	and whoever loses
3	NT	NT luke 9:25	שֶׁיִּקְנֶה	if he shall gain
3	NT/D&C	NT luke 14:11	וְהַמַּשְׁפִּיל	and he that humbleth
3	NT	NT luke 18:16	וְאַל־תִּמְנָעוּם	and forbid them not:
3	NT	NT luke 18:25	הַמַּחַט	a needle,
3	NT/PGP	NT luke 22:37	שֶׁצָּרִיךְ	that
3	NT/PGP	NT luke 24:9	וַתַּגֵּדְנָה	and told
3	NT	NT mark 7:13	קַבָּלַתְכֶם	your tradition,
3	NT/D&C	NT mark 7:30	וְהַשֵּׁד	and the devil
3	NT	NT mark 9:43	תַכְשִׁילְךָ	offend you,
3	NT	NT mark 9:45	תַּכְשִׁילְךָ	offend you,
3	NT	NT mark 11:26	תִמְחֲלוּ	forgive,
3	NT/D&C/PGP	NT mark 12:27	טוֹעִים	do err
3	NT/D&C	NT mark 14:5	לְהִמָּכֵר	to be sold
3	NT	NT mark 15:9	שֶׁאַתִּיר	that I release
3	NT	NT mark 15:17	וַיַּלְבִּישֻׁהוּ	and put on him
3	NT/D&C	NT matt 10:34	לְהָטִיל	to send
3	NT/D&C	NT phm 1:10	בַּמַּאֲסָר	in-bonds
3	NT/D&C	NT rev 21:9	מִשִּׁבְעַת	of-the-seven
3	NT	NT rom 15:1	הֲנָאַת	the-pleasure-of
3	D&C	D&C dc101_110 1:11	לָשֵׁבֶת	to preside
3	D&C	D&C dc101_110 1:18	שְׁמִיעַת	are heard
3	D&C	D&C dc101_110 1:5	קְשׁוּרִים	bound
3	D&C	D&C dc101_110 1:69	דּוֹלָרִים	dollars,
3	D&C	D&C dc101_110 1:6	יִוָּסֵר	be chastened
3	D&C	D&C dc101_110 1:2	וְיַזְהִיר	and warn
3	D&C	D&C dc101_110 1:23	מְיֻחָדִים	especial
3	D&C/PGP	D&C dc111_120 1:10	פְּסוּקִים	verses.
3	D&C	D&C dc11_20 1:22	יִוָּסֵף	shall be added
3	D&C	D&C dc121_130 1:7	הַמֻּטֶּלֶת	an imperative
3	D&C	D&C dc121_130 1:68	הַמְּנָיוֹת	of stock
3	D&C	D&C dc121_130 1:4	לִלְחֹץ	to shake hands
3	D&C/PGP	D&C dc131_138 1:9	דָּתִי	religious
3	D&C	D&C dc131_138 1:9	דָתִית	religious
3	D&C	D&C dc21_30 1:9	קְרִיאָתְךָ	your calling
3	D&C	D&C dc51_60 1:9	מַסַּעֲכֶם	your journey
3	D&C	D&C dc61_70 1:21	הַנִּזְכֶּרֶת	named
3	D&C	D&C dc71_80 1:1	וְהַפָּסוּק	and verse
3	D&C	D&C dc71_80 1:11	הַנִּסְמָכִים	ordained
3	D&C/PGP	D&C od 1:3	פֻּרְסְמוּ	were-published
3	D&C	D&C od 1:3	רִבּוּי	the plurality of
3	D&C/PGP	D&C od 1:7	כָּלְשֶׁהוּ	any
3	D&C/PGP	D&C od 1:19	לְהַמְשִׁיךְ	to continue
3	PGP	PGP js_history 1:9	לְגָרוֹם	to make
3	PGP	PGP js_history 1:10	טוֹעוֹת	wrong
3	PGP	PGP js_history 1:36	שֶׁלָּנוּ	of ours
3	PGP	PGP js_history 1:36	אֶת־הַפָּסוּק	the first
3	PGP	PGP moses 7:5	וָאַבֵּט	And I looked
3	PGP	PGP pgp_intro 1:17	אֶנְד	and
2	BOM	BOM 1nephi 4:2	חֵילוֹת	the armies of
2	BOM	BOM 1nephi 10:21	נִסְיֹנְכֶם	your probation
2	BOM	BOM 1nephi 14:4	כִּשְׁבִי	according to the captivity of
2	BOM/NT	BOM 1nephi 17:19	לְהֵעָצֵב	to be sorrowful
2	BOM/NT	BOM 1nephi 17:48	לְהַשְׁלִיכֵנִי	to cast me
2	BOM	BOM 1nephi 18:13	הִתִּירוּנִי	did they loose me
2	BOM	BOM 1nephi 18:15	לְהִבָּלַע	to be swallowed up
2	BOM	BOM 1nephi 18:15	צָבֹה	swell
2	BOM	BOM 1nephi 18:15	צָבְתוּ	were they swollen
2	BOM	BOM 1nephi 18:18	צַעֲרָם	their grief
2	BOM/NT	BOM 1nephi 18:19	לְהַתִּירֵנִי	to loose me
2	BOM	BOM 1nephi 19:1	וַיְצַוֵּנִי	and commanded me
2	BOM/NT	BOM 1nephi 19:6	אֶצְטַדֵּק	I would excuse myself
2	BOM/OT	BOM 1nephi 21:10	שָׁרָב	the heat
2	BOM/OT	BOM 1nephi 21:22	בְּחֹצֶן	in their arms
2	BOM/PGP	BOM 2nephi 2:11	מְעֹרָבִים	compounded
2	BOM	BOM 2nephi 3:12	וְהַנִּכְתָּב	and that which shall be written
2	BOM	BOM 2nephi 5:11	וַנַּצְלִיחַ	and we prospered
2	BOM/OT	BOM 2nephi 5:21	נִמְרֶצֶת	sore
2	BOM	BOM 2nephi 9:12	שְׁבוּיָיו	its captives
2	BOM	BOM 2nephi 9:42	וְהַמְּלֻמָּדִים	and the learned
2	BOM/NT	BOM 2nephi 9:42	הַמִּתְגָּאִים	who are puffed up
2	BOM	BOM 2nephi 10:16	גַּם־זָכָר	both male
2	BOM	BOM 2nephi 10:20	הוּבַלְנוּ	we were led
2	BOM	BOM 2nephi 10:24	הִתְרַצּוּ	reconcile yourselves
2	BOM	BOM 2nephi 12:5	תְּעִיתֶם	have gone astray
2	BOM/OT	BOM 2nephi 12:16	כׇּל־שְׂכִיּוֹת	all the pictures
2	BOM/OT	BOM 2nephi 13:16	תְּעַכַּסְנָה	they make a tinkling
2	BOM/OT	BOM 2nephi 13:18	הָעֲכָסִים	the tinkling ornaments
2	BOM/OT	BOM 2nephi 13:18	וְהַשְּׁבִיסִים	and the headbands
2	BOM/OT	BOM 2nephi 13:18	וְהַשַּׂהֲרֹנִים	and the crescents
2	BOM/OT	BOM 2nephi 13:23	וְהָרְדִידִים	and the veils
2	BOM/OT	BOM 2nephi 15:2	וַיְעַזְּקֵהוּ	and he fenced it
2	BOM/OT	BOM 2nephi 15:13	צִחֵה	parched with
2	BOM/OT	BOM 2nephi 15:14	וּפָעֲרָה	and opened
2	BOM/OT	BOM 2nephi 15:24	וַחֲשַׁשׁ	and as the chaff
2	BOM/OT	BOM 2nephi 15:25	כַּסּוּחָה	as the refuse
2	BOM/OT	BOM 2nephi 17:18	לַזְּבוּב	for the fly
2	BOM/OT	BOM 2nephi 17:19	הַנַּעֲצוּצִים	the thorns
2	BOM/OT	BOM 2nephi 19:18	וַיִּתְאַבְּכוּ	and they shall mount up
2	BOM/OT	BOM 2nephi 19:19	נֶעְתַּם	is darkened
2	BOM/D&C	BOM 2nephi 23:22	אַשְׁמִידֶנָּה	I will destroy her
2	BOM/OT	BOM 2nephi 24:22	וְנִין	and son
2	BOM/OT	BOM 2nephi 24:22	וָנֶכֶד	and nephew
2	BOM/OT	BOM 2nephi 24:23	קִפֹּד	the bittern
2	BOM/NT	BOM 2nephi 25:4	צֵאתִי	I came out
2	BOM/OT	BOM 2nephi 27:32	יְקֹשׁוּן	they lay a snare
2	BOM/OT	BOM 2nephi 27:33	יֶחֱוָרוּ	grow pale
2	BOM	BOM 2nephi 28:12	קְהִלּוֹתֵיהֶם	their churches
2	BOM/D&C	BOM 2nephi 28:14	נִמְשָׁכִים	are led
2	BOM	BOM 2nephi 28:19	בְּשַׁלְשְׁלוֹתָיו	with his chains
2	BOM	BOM 2nephi 29:6	הֲקִבַּלְתֶּם	have you obtained
2	BOM/NT	BOM 2nephi 31:10	הֲנוּכַל	can we
2	BOM	BOM 2nephi 31:18	וּקְבַלְתֶּם	and you have received
2	BOM	BOM 3nephi 1:17	הִשְׁתּוֹמְמוּ	were astonished
2	BOM	BOM 3nephi 4:6	לְהִתְפַּשֵּׁט	to spread
2	BOM	BOM 3nephi 4:16	לְהַכְנִיעָם	to subdue them
2	BOM	BOM 3nephi 4:18	צֵידָתָם	their provisions
2	BOM/D&C	BOM 3nephi 6:12	לְהִבָּדֵל	to be divided
2	BOM/PGP	BOM 3nephi 7:8	מִצִּדְקָתָם	from their righteousness
2	BOM/NT	BOM 3nephi 7:23	וַיַּטֵּף	and he preached
2	BOM/PGP	BOM 3nephi 8:7	חַדִּים	sharp
2	BOM	BOM 3nephi 8:12	וְהָרְעָמִים	and the thunderings
2	BOM/PGP	BOM 3nephi 9:20	אַטְבִּיל	I will baptize
2	BOM	BOM 3nephi 12:26	סֶנִין	senine
2	BOM/NT	BOM 3nephi 12:41	מִיל	a mile
2	BOM/D&C	BOM 3nephi 12:42	לִלְווֹת	borrow
2	BOM/NT	BOM 3nephi 13:7	וּבְהִתְפַּלֶּלְכֶם	but when you pray
2	BOM/NT	BOM 3nephi 13:30	יַלְבִּישׁ	he shall clothe
2	BOM/NT	BOM 3nephi 14:15	טֹרְפִים	ravening
2	BOM	BOM 3nephi 15:17	מִן־הַמִּכְלָא	of the fold
2	BOM	BOM 3nephi 18:30	תְגָרְשׁוּהוּ	cast him out
2	BOM/D&C	BOM 3nephi 20:8	שׁוֹתֶה	drinketh
2	BOM/OT	BOM 3nephi 22:10	תְּמוּטֶינָה	be removed
2	BOM	BOM 3nephi 27:1	וַיַּטְבִּילוּ	and were baptizing
2	BOM	BOM 3nephi 27:26	נִכְתָּבִים	are written
2	BOM	BOM 3nephi 28:21	נִזּוֹקוּ	were they harmed
2	BOM/D&C	BOM 3nephi 28:34	יְקַבְּלֵם	will he receive them
2	BOM	BOM alma 1:30	גַּם־זָקֵן	both old
2	BOM	BOM alma 2:12	וַיִּתְחַמְּשׁוּ	and armed themselves
2	BOM	BOM alma 3:4	כַּלָּמָנִים	like the Lamanites
2	BOM/NT	BOM alma 4:19	בְּהָעִיד	in bearing
2	BOM/D&C	BOM alma 5:14	צַלְמוֹ	His image
2	BOM	BOM alma 6:6	וּלְהִתְחַבֵּר	and to unite
2	BOM/D&C	BOM alma 7:3	נִכְנַעְתֶּם	you had humbled yourselves
2	BOM/NT	BOM alma 7:6	שַׁתֶּם	you have not set
2	BOM/D&C	BOM alma 8:10	לְהַטְבִּילָם	that he might baptize them
2	BOM	BOM alma 9:30	לְהֵאָהֵב	to be beloved
2	BOM	BOM alma 9:30	אָבוּד	lost
2	BOM	BOM alma 10:12	לְהִתְפַּלֵּא	to be astonished
2	BOM	BOM alma 11:2	וַיֵּאָנֵס	and was compelled
2	BOM	BOM alma 11:3	סְנִינֵה	a senine of
2	BOM	BOM alma 11:3	כִּסְנִינֵה	is equal to a senine of
2	BOM	BOM alma 11:6	עֶזְרוֹם	an ezrom of
2	BOM	BOM alma 11:11	סְנוּמִים	senums
2	BOM	BOM alma 11:14	לְחֶשְׁבּוֹנָם	of their reckoning
